pseudoword,subband,length,accuracy
glirdy,1k-b,6,1.000
bicums,1k-b,6,1.000
moobed,1k-b,6,1.000
edunds,1k-b,6,1.000
femmer,1k-b,6,1.000
revism,1k-b,6,1.000
mapran,1k-b,6,1.000
dodars,1k-b,6,1.000
nensed,1k-b,6,0.975
chempy,1k-b,6,1.000
shians,1k-b,6,1.000
vawish,1k-b,6,0.974
panute,1k-b,6,0.975
peefed,1k-b,6,1.000
stusial,1k-b,7,1.000
jarmont,1k-b,7,1.000
subdall,1k-b,7,1.000
rursted,1k-b,7,1.000
girries,1k-b,7,0.974
costove,1k-b,7,0.974
crarbey,1k-b,7,1.000
shruced,1k-b,7,0.974
poleier,1k-b,7,1.000
sesiats,1k-b,7,1.000
miccinct,1k-b,8,1.000
pestmans,1k-b,8,1.000
thylists,1k-b,8,1.000
bortnies,1k-b,8,1.000
swoodword,1k-b,9,1.000
stritches,1k-b,9,0.974
stissware,1k-b,9,1.000
cluoroured,1k-b,10,1.000
busp,2k-a,4,1.000
rort,2k-a,4,0.987
osae,2k-a,4,1.000
diot,2k-a,4,1.000
juip,2k-a,4,0.987
gost,2k-a,4,0.962
gont,2k-a,4,1.000
woog,2k-a,4,1.000
sowl,2k-a,4,1.000
exwo,2k-a,4,1.000
simn,2k-a,4,1.000
gidg,2k-a,4,0.987
lole,2k-a,4,1.000
swut,2k-a,4,0.987
keem,2k-a,4,1.000
chog,2k-a,4,0.974
sose,2k-a,4,0.974
trits,2k-a,5,0.950
cland,2k-a,5,0.950
bimmy,2k-a,5,1.000
tiver,2k-a,5,1.000
anbet,2k-a,5,1.000
chrox,2k-a,5,1.000
guths,2k-a,5,1.000
esect,2k-a,5,1.000
pysts,2k-a,5,1.000
snate,2k-a,5,0.950
sluer,2k-a,5,1.000
gensy,2k-a,5,1.000
psech,2k-a,5,0.975
bluss,2k-a,5,1.000
erpis,2k-a,5,1.000
pimba,2k-a,5,0.975
actot,2k-a,5,0.950
posgy,2k-a,5,1.000
jasta,2k-a,5,1.000
zompee,2k-a,6,0.974
stazed,2k-a,6,0.974
steety,2k-a,6,1.000
lewsly,2k-a,6,1.000
flalid,2k-a,6,1.000
juyope,2k-a,6,1.000
savaum,2k-a,6,1.000
siendy,2k-a,6,1.000
stedle,2k-a,6,1.000
onored,2k-a,6,0.974
resand,2k-a,6,0.950
sharry,2k-a,6,0.975
marroy,2k-a,6,1.000
colish,2k-a,6,1.000
dastos,2k-a,6,1.000
forlds,2k-a,6,1.000
dootly,2k-a,6,1.000
belkly,2k-a,6,1.000
pesies,2k-a,6,1.000
slassy,2k-a,6,1.000
nistoi,2k-a,6,1.000
bendat,2k-a,6,1.000
solles,2k-a,6,1.000
ganser,2k-a,6,1.000
beking,2k-a,6,1.000
bauron,2k-a,6,0.974
phyten,2k-a,6,1.000
sursuit,2k-a,7,0.950
tradave,2k-a,7,1.000
wadbled,2k-a,7,1.000
faunter,2k-a,7,0.950
bychies,2k-a,7,1.000
tricess,2k-a,7,1.000
clecked,2k-a,7,0.974
gearsix,2k-a,7,0.974
centrop,2k-a,7,1.000
ceipine,2k-a,7,1.000
injards,2k-a,7,1.000
runcher,2k-a,7,0.974
dexcish,2k-a,7,1.000
junwens,2k-a,7,1.000
blukkay,2k-a,7,1.000
cluller,2k-a,7,1.000
segtens,2k-a,7,1.000
vatting,2k-a,7,0.974
nurging,2k-a,7,1.000
legheam,2k-a,7,1.000
gurting,2k-a,7,0.950
nopplum,2k-a,7,1.000
istests,2k-a,7,1.000
likyers,2k-a,7,1.000
rimmard,2k-a,7,0.975
dracked,2k-a,7,0.974
mourses,2k-a,7,0.974
parbined,2k-a,8,1.000
harepays,2k-a,8,1.000
trillray,2k-a,8,1.000
bullfobs,2k-a,8,1.000
antalves,2k-a,8,1.000
pavnents,2k-a,8,1.000
skinsied,2k-a,8,1.000
ruesting,2k-a,8,1.000
chouding,2k-a,8,1.000
bungbead,2k-a,8,1.000
rellared,2k-a,8,0.974
enjushed,2k-a,8,1.000
preryous,2k-a,8,1.000
frounden,2k-a,8,1.000
corebrow,2k-a,8,1.000
irtbeges,2k-a,8,1.000
bushtreat,2k-a,9,0.974
furlammed,2k-a,9,1.000
millourts,2k-a,9,1.000
harttaids,2k-a,9,1.000
destriors,2k-a,9,1.000
plagmards,2k-a,9,1.000
sergieres,2k-a,9,0.974
transnand,2k-a,9,0.975
holfheams,2k-a,9,1.000
trescossed,2k-a,10,1.000
beeserooms,2k-a,10,1.000
windthroan,2k-a,10,1.000
nighthiors,2k-a,10,1.000
chorchyeurs,2k-a,11,0.975
eshy,2k-b,4,0.950
leec,2k-b,4,1.000
droy,2k-b,4,1.000
dild,2k-b,4,0.974
foft,2k-b,4,1.000
lodu,2k-b,4,1.000
luns,2k-b,4,0.974
hoap,2k-b,4,0.975
peam,2k-b,4,1.000
hesh,2k-b,4,0.974
leke,2k-b,4,1.000
wals,2k-b,4,1.000
unfa,2k-b,4,0.974
koil,2k-b,4,1.000
borl,2k-b,4,1.000
culk,2k-b,4,0.975
sloo,2k-b,4,0.975
loty,2k-b,4,0.975
bocs,2k-b,4,1.000
afel,2k-b,4,0.974
palf,2k-b,4,0.962
erts,2k-b,4,1.000
lere,2k-b,4,0.975
fulp,2k-b,4,1.000
spro,2k-b,4,1.000
snin,2k-b,4,1.000
amlo,2k-b,4,1.000
drog,2k-b,4,0.974
cios,2k-b,4,1.000
flof,2k-b,4,0.975
bift,2k-b,4,1.000
rarp,2k-b,4,0.974
floa,2k-b,4,0.950
soty,2k-b,4,0.974
eque,2k-b,4,1.000
boaf,2k-b,4,1.000
niew,2k-b,4,0.975
ralk,2k-b,4,1.000
blib,2k-b,4,0.950
punu,2k-b,4,1.000
hyen,2k-b,4,1.000
larm,2k-b,4,0.950
dinc,2k-b,4,1.000
pruc,2k-b,4,1.000
sken,2k-b,4,0.975
ecipt,2k-b,5,0.974
halps,2k-b,5,1.000
enths,2k-b,5,1.000
feker,2k-b,5,0.974
rarts,2k-b,5,0.975
asque,2k-b,5,1.000
ficed,2k-b,5,0.987
moxed,2k-b,5,1.000
raxed,2k-b,5,0.975
howns,2k-b,5,0.974
jifto,2k-b,5,1.000
ellei,2k-b,5,1.000
cotee,2k-b,5,0.950
ploss,2k-b,5,0.975
beald,2k-b,5,1.000
slars,2k-b,5,0.974
grame,2k-b,5,0.962
frize,2k-b,5,1.000
sicel,2k-b,5,1.000
obbed,2k-b,5,1.000
luvad,2k-b,5,1.000
grost,2k-b,5,1.000
grarp,2k-b,5,1.000
asoft,2k-b,5,1.000
fooch,2k-b,5,0.975
pylly,2k-b,5,1.000
moust,2k-b,5,0.962
lafts,2k-b,5,0.975
brout,2k-b,5,0.975
lalts,2k-b,5,0.974
oogir,2k-b,5,0.950
swise,2k-b,5,0.974
qufos,2k-b,5,1.000
treas,2k-b,5,0.974
mumis,2k-b,5,0.975
atyps,2k-b,5,1.000
cannod,2k-b,6,1.000
veleed,2k-b,6,1.000
estors,2k-b,6,1.000
cutten,2k-b,6,1.000
phined,2k-b,6,0.975
faccar,2k-b,6,0.974
aubels,2k-b,6,0.975
cacing,2k-b,6,1.000
plewer,2k-b,6,1.000
laggle,2k-b,6,0.950
hadpet,2k-b,6,1.000
siuris,2k-b,6,0.974
strumy,2k-b,6,0.975
geapea,2k-b,6,1.000
lansom,2k-b,6,0.950
pounge,2k-b,6,0.974
mothal,2k-b,6,1.000
cansat,2k-b,6,1.000
rephays,2k-b,7,1.000
glaweer,2k-b,7,1.000
lalting,2k-b,7,1.000
bousair,2k-b,7,1.000
slimour,2k-b,7,1.000
adcorbs,2k-b,7,1.000
vacktot,2k-b,7,0.975
wiseest,2k-b,7,1.000
gridths,2k-b,7,0.974
pudlors,2k-b,7,1.000
sirtier,2k-b,7,1.000
buckbate,2k-b,8,1.000
sprovine,2k-b,8,1.000
homslers,2k-b,8,1.000
sleeners,2k-b,8,1.000
househafe,2k-b,9,1.000
swamsoots,2k-b,9,0.975
corecoach,2k-b,9,1.000
tweerrels,2k-b,9,1.000
hobstates,2k-b,9,1.000
toothprune,2k-b,10,1.000
parseplush,2k-b,10,0.974
strainsmess,2k-b,11,1.000
papt,3k-a,4,1.000
sipy,3k-a,4,1.000
muce,3k-a,4,0.987
esid,3k-a,4,1.000
heak,3k-a,4,1.000
sosh,3k-a,4,1.000
rund,3k-a,4,0.975
gimy,3k-a,4,1.000
werse,3k-a,5,1.000
lubon,3k-a,5,1.000
reald,3k-a,5,0.950
urhed,3k-a,5,1.000
abvid,3k-a,5,1.000
lyvye,3k-a,5,1.000
lerus,3k-a,5,1.000
geten,3k-a,5,1.000
samus,3k-a,5,0.974
wouts,3k-a,5,1.000
moiwu,3k-a,5,1.000
sleed,3k-a,5,0.974
lealms,3k-a,6,1.000
lebyrs,3k-a,6,0.974
rugald,3k-a,6,1.000
donces,3k-a,6,0.974
moughs,3k-a,6,0.974
mairns,3k-a,6,0.974
swaced,3k-a,6,1.000
witets,3k-a,6,1.000
swites,3k-a,6,0.950
smolls,3k-a,6,1.000
crompy,3k-a,6,0.950
rewops,3k-a,6,1.000
booden,3k-a,6,0.974
flindy,3k-a,6,0.974
mullee,3k-a,6,1.000
rithes,3k-a,6,0.975
rawees,3k-a,6,1.000
pusper,3k-a,6,0.975
grinks,3k-a,6,1.000
brincy,3k-a,6,1.000
tilash,3k-a,6,1.000
spelty,3k-a,6,0.950
effell,3k-a,6,1.000
ruking,3k-a,6,1.000
gartly,3k-a,6,0.975
humives,3k-a,7,1.000
groking,3k-a,7,1.000
erspete,3k-a,7,1.000
becools,3k-a,7,1.000
brewtan,3k-a,7,0.975
kebbuel,3k-a,7,1.000
swilchy,3k-a,7,0.974
chiffle,3k-a,7,0.950
spunmey,3k-a,7,0.975
scyltic,3k-a,7,0.975
gragged,3k-a,7,1.000
replare,3k-a,7,1.000
tooding,3k-a,7,1.000
rulking,3k-a,7,0.975
junesox,3k-a,7,1.000
ertrade,3k-a,7,1.000
alfives,3k-a,7,1.000
daiding,3k-a,7,0.950
shriced,3k-a,7,0.974
hombers,3k-a,7,0.974
frourty,3k-a,7,1.000
vectues,3k-a,7,0.975
strypel,3k-a,7,0.975
bruiber,3k-a,7,1.000
roontate,3k-a,8,0.975
footdour,3k-a,8,0.975
concuile,3k-a,8,0.974
peedvole,3k-a,8,1.000
coroaned,3k-a,8,1.000
yellates,3k-a,8,1.000
phettres,3k-a,8,1.000
stainpay,3k-a,8,1.000
redneeds,3k-a,8,0.950
rufflets,3k-a,8,1.000
shepkird,3k-a,8,1.000
hasthers,3k-a,8,1.000
tupgring,3k-a,8,1.000
odecalls,3k-a,8,0.950
sireprow,3k-a,8,1.000
threcing,3k-a,8,1.000
prieldes,3k-a,8,1.000
muesting,3k-a,8,1.000
rickthew,3k-a,8,1.000
plialling,3k-a,9,1.000
dinselled,3k-a,9,0.974
wipmessed,3k-a,9,1.000
prussosks,3k-a,9,1.000
plullides,3k-a,9,1.000
gradegrot,3k-a,9,1.000
wrirtcand,3k-a,9,1.000
gassolled,3k-a,9,0.950
stiresorn,3k-a,9,1.000
handbiffs,3k-a,9,1.000
scostered,3k-a,9,0.950
recrounce,3k-a,9,1.000
steadgist,3k-a,9,1.000
friesless,3k-a,9,1.000
hainfiece,3k-a,9,1.000
plearayed,3k-a,9,1.000
champiors,3k-a,9,0.975
mishpields,3k-a,10,1.000
hoodjunked,3k-a,10,0.975
marglilled,3k-a,10,1.000
quretights,3k-a,10,1.000
poremanned,3k-a,10,1.000
wheedstake,3k-a,10,0.950
chilblours,3k-a,10,1.000
drewsprings,3k-a,11,0.975
fainclounds,3k-a,11,1.000
matchblires,3k-a,11,1.000
staughtmess,3k-a,11,0.975
flashraints,3k-a,11,1.000
knightreeds,3k-a,11,0.950
broospricks,3k-a,11,1.000
thurtstrews,3k-a,11,1.000
slom,3k-b,4,1.000
pemp,3k-b,4,1.000
ukun,3k-b,4,1.000
solf,3k-b,4,1.000
camn,3k-b,4,0.974
huty,3k-b,4,1.000
spep,3k-b,4,1.000
seop,3k-b,4,0.974
aulm,3k-b,4,1.000
sald,3k-b,4,0.962
vufo,3k-b,4,1.000
aive,3k-b,4,0.987
pust,3k-b,4,0.974
nebt,3k-b,4,1.000
shid,3k-b,4,0.962
roice,3k-b,5,1.000
tusex,3k-b,5,1.000
urled,3k-b,5,0.974
gralt,3k-b,5,0.975
spush,3k-b,5,0.987
gotty,3k-b,5,1.000
kirts,3k-b,5,0.962
scrid,3k-b,5,0.975
spows,3k-b,5,1.000
avite,3k-b,5,1.000
prour,3k-b,5,0.950
nedge,3k-b,5,0.950
rebre,3k-b,5,1.000
etiog,3k-b,5,1.000
smeam,3k-b,5,0.974
chasps,3k-b,6,0.950
quiddy,3k-b,6,1.000
nished,3k-b,6,0.974
aroves,3k-b,6,0.975
yrhels,3k-b,6,1.000
istech,3k-b,6,1.000
plouch,3k-b,6,0.974
pavnay,3k-b,6,1.000
rolfed,3k-b,6,0.974
arpone,3k-b,6,1.000
boobty,3k-b,6,1.000
renode,3k-b,6,0.975
krorys,3k-b,6,1.000
chuets,3k-b,6,0.974
vickal,3k-b,6,0.975
luoyes,3k-b,6,0.974
dalike,3k-b,6,1.000
baybug,3k-b,6,1.000
evists,3k-b,6,1.000
immals,3k-b,6,1.000
gostle,3k-b,6,0.975
dongue,3k-b,6,1.000
lorame,3k-b,6,1.000
pearned,3k-b,7,0.950
pileuse,3k-b,7,0.975
remibed,3k-b,7,0.975
margect,3k-b,7,1.000
shicked,3k-b,7,0.974
laleing,3k-b,7,1.000
coctees,3k-b,7,1.000
susters,3k-b,7,0.974
bammoon,3k-b,7,1.000
zemping,3k-b,7,1.000
bulcher,3k-b,7,0.950
poolier,3k-b,7,0.975
hurpets,3k-b,7,1.000
chamive,3k-b,7,1.000
boffols,3k-b,7,1.000
berving,3k-b,7,1.000
knither,3k-b,7,0.975
guggaws,3k-b,7,1.000
banprie,3k-b,7,0.975
fangown,3k-b,7,1.000
jencers,3k-b,7,1.000
doobrin,3k-b,7,0.975
tambern,3k-b,7,0.975
deplent,3k-b,7,0.950
sanfiene,3k-b,8,1.000
esfelled,3k-b,8,1.000
phitters,3k-b,8,0.975
swousing,3k-b,8,0.974
fourmows,3k-b,8,1.000
vellails,3k-b,8,1.000
langboat,3k-b,8,0.950
deplands,3k-b,8,0.950
shuthogs,3k-b,8,1.000
sidebong,3k-b,8,0.950
trumbode,3k-b,8,0.975
tiehorms,3k-b,8,0.974
codemels,3k-b,8,1.000
weelgays,3k-b,8,1.000
deferned,3k-b,8,0.950
hannades,3k-b,8,1.000
clinsers,3k-b,8,0.950
seenders,3k-b,8,1.000
billalves,3k-b,9,0.987
hurnished,3k-b,9,1.000
smammered,3k-b,9,1.000
threndows,3k-b,9,1.000
mortrimes,3k-b,9,1.000
notchpard,3k-b,9,1.000
vameyards,3k-b,9,1.000
esplarned,3k-b,9,1.000
cessreels,3k-b,9,1.000
spearmode,3k-b,9,0.975
trarswing,3k-b,9,1.000
stilkwork,3k-b,9,0.950
housefloes,3k-b,10,1.000
confrilled,3k-b,10,1.000
outshourts,3k-b,10,1.000
crickyeurs,3k-b,10,1.000
brairflild,3k-b,10,1.000
scayshound,3k-b,10,1.000
weststring,3k-b,10,0.974
tragestreck,3k-b,11,0.975
smaldstacks,3k-b,11,1.000
grooshpaint,3k-b,11,1.000
bralseheads,3k-b,11,1.000
pownstripts,3k-b,11,1.000
spandstades,3k-b,11,1.000
pown,4k-a,4,0.975
anvy,4k-a,4,0.975
spow,4k-a,4,0.974
wicy,4k-a,4,1.000
drea,4k-a,4,1.000
tebs,4k-a,4,1.000
rewt,4k-a,4,1.000
uoys,4k-a,4,0.975
fuke,4k-a,4,0.950
thao,4k-a,4,0.975
grag,4k-a,4,0.987
mamp,4k-a,4,1.000
whic,4k-a,4,1.000
vode,4k-a,4,0.975
timp,4k-a,4,0.975
mabc,4k-a,4,1.000
peaf,4k-a,4,0.987
lawi,4k-a,4,1.000
cheel,4k-a,5,0.975
lasey,4k-a,5,1.000
shump,4k-a,5,0.974
hucor,4k-a,5,1.000
sloos,4k-a,5,0.975
wimut,4k-a,5,1.000
poque,4k-a,5,1.000
nexed,4k-a,5,0.950
avief,4k-a,5,1.000
suddy,4k-a,5,1.000
muced,4k-a,5,1.000
flark,4k-a,5,0.974
stevs,4k-a,5,1.000
glart,4k-a,5,1.000
pamdy,4k-a,5,1.000
jecks,4k-a,5,1.000
numus,4k-a,5,0.975
lealt,4k-a,5,0.987
lanfo,4k-a,5,1.000
pampim,4k-a,6,1.000
ahokes,4k-a,6,1.000
myndip,4k-a,6,0.975
delaph,4k-a,6,0.975
bothry,4k-a,6,0.975
enched,4k-a,6,0.974
slerrs,4k-a,6,1.000
jolule,4k-a,6,0.974
miocks,4k-a,6,1.000
panyrs,4k-a,6,0.975
srinns,4k-a,6,1.000
enbace,4k-a,6,0.974
seneys,4k-a,6,1.000
maucly,4k-a,6,0.975
retans,4k-a,6,0.975
simpon,4k-a,6,0.975
mislow,4k-a,6,1.000
lixied,4k-a,6,1.000
tatens,4k-a,6,1.000
ammict,4k-a,6,1.000
cowkise,4k-a,7,1.000
mortans,4k-a,7,0.950
humbugn,4k-a,7,1.000
sawcell,4k-a,7,0.975
kencman,4k-a,7,1.000
newbeon,4k-a,7,1.000
rawkise,4k-a,7,1.000
tandlim,4k-a,7,1.000
wirlers,4k-a,7,0.975
plucing,4k-a,7,1.000
sirture,4k-a,7,1.000
phaloux,4k-a,7,1.000
prebect,4k-a,7,1.000
stavall,4k-a,7,1.000
madging,4k-a,7,0.974
nilwork,4k-a,7,0.975
laouors,4k-a,7,1.000
inguild,4k-a,7,0.974
dinnect,4k-a,7,1.000
graides,4k-a,7,0.975
outbole,4k-a,7,0.950
comsered,4k-a,8,0.975
troppled,4k-a,8,0.975
rentacts,4k-a,8,1.000
vanpeash,4k-a,8,0.974
suslicts,4k-a,8,1.000
doochgay,4k-a,8,1.000
draxcack,4k-a,8,1.000
esspawed,4k-a,8,0.974
trirreps,4k-a,8,1.000
pluttled,4k-a,8,0.975
glampers,4k-a,8,0.974
toundest,4k-a,8,1.000
shencate,4k-a,8,1.000
varmaner,4k-a,8,0.974
rechiece,4k-a,8,1.000
shothing,4k-a,8,0.974
gongnine,4k-a,8,1.000
churking,4k-a,8,0.950
enspissed,4k-a,9,0.975
holtreens,4k-a,9,1.000
foretrots,4k-a,9,0.975
mirthneat,4k-a,9,1.000
driddened,4k-a,9,1.000
hotchboms,4k-a,9,1.000
baultings,4k-a,9,0.974
urtseenth,4k-a,9,1.000
shartills,4k-a,9,1.000
coubrerve,4k-a,9,1.000
hareboles,4k-a,9,1.000
breachsone,4k-a,10,0.950
broodchord,4k-a,10,0.974
nometheeds,4k-a,10,1.000
crostcrees,4k-a,10,1.000
totchstose,4k-a,10,1.000
cornsparks,4k-a,10,1.000
tympstripts,4k-a,11,1.000
blackboomed,4k-a,11,0.974
shaldsmeare,4k-a,11,1.000
fockcrought,4k-a,11,1.000
playthigned,4k-a,11,0.975
prendnanged,4k-a,11,1.000
pightscrien,4k-a,11,1.000
prif,4k-b,4,1.000
gyid,4k-b,4,1.000
buce,4k-b,4,1.000
liud,4k-b,4,1.000
wese,4k-b,4,1.000
eapt,4k-b,4,1.000
ceam,4k-b,4,0.975
snan,4k-b,4,1.000
xeco,4k-b,4,1.000
clom,4k-b,4,1.000
bume,4k-b,4,0.987
furt,4k-b,4,0.975
fuce,4k-b,4,0.950
onte,4k-b,4,1.000
cump,4k-b,4,0.987
lirp,4k-b,4,1.000
enbi,4k-b,4,0.974
swew,4k-b,4,0.987
jums,4k-b,4,1.000
siba,4k-b,4,1.000
veny,4k-b,4,0.975
shebs,4k-b,5,1.000
lules,4k-b,5,0.974
scobs,4k-b,5,0.975
marno,4k-b,5,1.000
womes,4k-b,5,0.974
boory,4k-b,5,0.975
clurl,4k-b,5,1.000
geope,4k-b,5,1.000
glape,4k-b,5,0.987
junab,4k-b,5,1.000
cemes,4k-b,5,1.000
enbuy,4k-b,5,1.000
horls,4k-b,5,0.974
fensa,4k-b,5,0.974
warls,4k-b,5,0.975
caili,4k-b,5,1.000
emter,4k-b,5,0.974
addal,4k-b,5,1.000
ritty,4k-b,5,0.974
skind,4k-b,5,0.975
spamy,4k-b,5,1.000
lools,4k-b,5,1.000
bamna,4k-b,5,1.000
heign,4k-b,5,0.974
forbut,4k-b,6,1.000
sician,4k-b,6,0.974
flumer,4k-b,6,0.975
shough,4k-b,6,0.974
vidvet,4k-b,6,1.000
losial,4k-b,6,0.975
bipons,4k-b,6,0.974
sejurl,4k-b,6,1.000
eigned,4k-b,6,1.000
fasope,4k-b,6,1.000
tansuy,4k-b,6,1.000
tayand,4k-b,6,1.000
recers,4k-b,6,0.975
pontol,4k-b,6,0.974
rugand,4k-b,6,0.975
tigged,4k-b,6,0.962
desutz,4k-b,6,1.000
labans,4k-b,6,1.000
cargel,4k-b,6,0.975
pabmit,4k-b,6,1.000
dwinas,4k-b,6,1.000
righed,4k-b,6,1.000
exceams,4k-b,7,1.000
loserow,4k-b,7,0.975
ensmied,4k-b,7,1.000
chideak,4k-b,7,1.000
campace,4k-b,7,0.975
fooping,4k-b,7,1.000
notaved,4k-b,7,1.000
moddent,4k-b,7,0.975
sosters,4k-b,7,1.000
doehand,4k-b,7,1.000
tablarm,4k-b,7,1.000
netched,4k-b,7,1.000
scaveau,4k-b,7,1.000
mamered,4k-b,7,1.000
tumives,4k-b,7,0.975
trergum,4k-b,7,1.000
oatslian,4k-b,8,0.974
captocks,4k-b,8,1.000
shrucket,4k-b,8,1.000
biffreed,4k-b,8,1.000
nishmies,4k-b,8,1.000
tretexts,4k-b,8,0.975
